City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
80,Anadyr,20,RU,1589836333,92,64.75,177.4833,32.0,11.18
81,Hermanus,100,ZA,1589836522,82,-34.4187,19.2345,62.01,3.0
82,Price,1,US,1589836362,10,39.5994,-110.8107,80.6,17.22
83,Sinnamary,51,GF,1589836230,89,5.3833,-52.95,79.65,8.03
84,Port Alfred,100,ZA,1589836156,95,-33.5906,26.891,60.01,4.0
85,Oranjemund,100,NA,1589836228,45,-28.55,16.4333,65.07,7.61
86,Chuy,0,UY,1589836246,77,-33.6971,-53.4616,61.21,9.15
87,Puerto Ayora,40,EC,1589836281,52,-0.7393,-90.3518,89.6,13.87
88,Cherskiy,0,RU,1589836333,60,68.75,161.3,41.34,7.07
89,Mora,92,CM,1589836158,29,11.0461,14.1401,90.84,3.02
90,Carutapera,9,BR,1589836233,82,-1.195,-46.02,79.43,6.53
91,Brufut,39,GM,1589836195,83,13.3814,-16.7518,75.2,9.17
92,Avarua,100,CK,1589836570,66,-21.2078,-159.775,75.74,12.37
93,Kurchum,42,KZ,1589835972,51,48.5722,83.6542,63.64,4.56
94,Honiara,75,SB,1589836190,88,-9.4333,159.95,77.0,3.36
95,Ahipara,0,NZ,1589836332,70,-35.1667,173.1667,57.2,5.06
96,Lebu,100,CL,1589836561,94,-37.6167,-73.65,57.67,4.99
97,Dudinka,75,RU,1589836175,80,69.4058,86.1778,41.0,6.71
98,Hamilton County,90,US,1589836324,93,39.1834,-84.5333,60.8,6.93
99,Pak Phanang,84,TH,1589836177,80,8.3511,100.202,81.86,5.46
100,La Ronge,90,CA,1589836370,67,55.1001,-105.2842,57.2,12.75
101,Faanui,1,PF,1589836570,75,-16.4833,-151.75,81.86,13.49
102,Kaeo,0,NZ,1589836332,3,-35.1,173.7833,53.01,5.01
103,East London,100,ZA,1589836157,79,-33.0153,27.9116,64.35,10.31
104,Tiksi,90,RU,1589836325,98,71.6872,128.8694,30.56,4.68
105,Kodiak,90,US,1589836631,87,57.79,-152.4072,46.4,17.22
106,Vaini,75,TO,1589836305,78,-21.2,-175.2,75.2,5.82
107,Avera,1,US,1589836313,69,33.194,-82.5271,82.4,8.05
108,Estación Coahuila,5,MX,1589836301,9,32.1939,-115.0017,95.0,4.7
109,Antalaha,40,MG,1589836157,80,-14.9003,50.2788,73.29,13.02
110,Bridgton,1,US,1589836339,24,44.0548,-70.7128,71.6,6.13
111,Serchhīp,97,IN,1589836164,64,23.3,92.8333,69.93,1.77
112,Bethel,40,US,1589836621,55,41.3712,-73.414,66.2,11.41
113,Manaus,75,BR,1589836551,94,-3.1019,-60.025,77.0,2.28
114,Souillac,40,MU,1589835957,56,-20.5167,57.5167,73.4,6.93
115,Yabēlo,10,ET,1589836149,57,4.8833,38.0833,55.44,5.61
116,Tuktoyaktuk,90,CA,1589836374,86,69.4541,-133.0374,28.4,10.29
117,Trairi,0,BR,1589836522,81,-3.2778,-39.2689,79.68,9.28
118,Pemangkat,100,ID,1589836179,90,1.1667,108.9667,76.08,5.79
